start_date,end_date,symbol,name,holding_days,period_return,contribution_to_total_return,max_drawdown_during_holding
2017-09-22,2017-09-22,980081.CNI,国证价值100指数,1,0.005278950721793851,0.01943542791201569,-0.05986381691609444
2017-09-25,2017-09-25,NDX,纳指ETF国泰,1,-0.010951820230595266,-0.04053399359495202,-0.07016001938550731
2017-09-26,2017-09-30,980081.CNI,国证价值100指数,5,0.0043647165240461305,0.01597741732175262,-0.06993948143337547
2017-10-02,2017-10-02,511880,银华日利ETF,1,0.0,0.0,-0.0661015314574005
2017-10-03,2017-10-04,NDX,纳指ETF国泰,2,0.0028281898882600576,0.010398017614182464,-0.06404979927491528
2017-10-05,2017-10-05,511880,银华日利ETF,1,0.0,0.0,-0.06346028925200686
2017-10-06,2017-10-09,NDX,纳指ETF国泰,2,0.0002289528247887418,0.0008441400843373081,-0.06324586583970415
2017-10-10,2017-11-27,980081.CNI,国证价值100指数,35,0.05841451087887939,0.21542132033531525,-0.06524215125658106
2017-11-28,2017-12-01,NDX,纳指ETF国泰,4,-0.01063072382072594,-0.04149412011927467,-0.053711264175111295
2017-12-04,2017-12-13,511880,银华日利ETF,8,0.0011311814014431931,0.004368319546260047,-0.04962982070275179
2017-12-14,2017-12-25,NDX,纳指ETF国泰,8,0.011024806769150075,0.042623010245053994,-0.04937267349633656
2017-12-26,2017-12-26,399439.SZ,国证石油天然气指数,1,0.006180257546051227,0.024156917567371927,-0.03223196509787485
2017-12-27,2017-12-31,NDX,纳指ETF国泰,4,-0.0057110811572824716,-0.022460998933413467,-0.03775896688662472
2018-01-02,2018-01-02,511880,银华日利ETF,1,0.00010996968220444714,0.00043002757472265785,-0.03765314954600907
2018-01-03,2018-01-12,980081.CNI,国证价值100指数,8,0.056978068484126565,0.2228326444524571,-0.03569986771125655
2018-01-15,2018-01-16,399439.SZ,国证石油天然气指数,2,-0.009757826636778488,-0.0403357526770991,-0.013140540554257618
2018-01-17,2018-02-06,980081.CNI,国证价值100指数,15,0.003850369457177205,0.015760895506264028,-0.027951032262007347
2018-02-07,2018-02-28,511880,银华日利ETF,15,0.0023159456772434694,0.00951646900772296,-0.02620847962236672
2018-03-01,2018-03-14,NDX,纳指ETF国泰,10,0.027217635149548114,0.11209919576023264,-0.038840654742983594
2018-03-15,2018-03-20,980080.CN,国证成长100指数,4,-0.0231867429045558,-0.09809668287074924,-0.0355339010827852
2018-03-21,2018-03-26,399439.SZ,国证石油天然气指数,4,-0.029787499046254773,-0.12310059781580929,-0.06426293408442685
2018-03-27,2018-03-27,511880,银华日利ETF,1,0.0001282250055523182,0.0005141214375434799,-0.06414294919395425
2018-03-28,2018-03-29,159934,黄金ETF易方达,2,-0.015299324002253423,-0.061350896389985365,-0.07846092943402938
2018-03-30,2018-03-30,511880,银华日利ETF,1,0.00031668476293877923,0.0012504895726768162,-0.07816909205192824
2018-03-31,2018-04-04,159934,黄金ETF易方达,4,0.0058121615479100885,0.022957685184399335,-0.07816909205192824
2018-04-05,2018-04-12,511880,银华日利ETF,6,0.0003062617986104854,0.0012167465694403745,-0.07281126189507747
2018-04-13,2018-04-23,159934,黄金ETF易方达,7,-0.009712200980702357,-0.03859739106299109,-0.08153510067679237
2018-04-24,2018-04-24,NDX,纳指ETF国泰,1,-0.021018831097907364,-0.08271995277198041,-0.10084015926502343
2018-04-25,2018-04-27,511880,银华日利ETF,3,0.0007093828202355823,0.0027331075513887804,-0.10073422682137623
