signal_date,label,symbol,name,kind,score_25,annualized_return_25,r_squared_25,return_10d,qualified,rejection_reason
2014-02-18,黄金ETF易方达,159934,黄金ETF易方达,etf,0.5866701653817675,0.7924224562318847,0.740350252277671,0.0478377695611234,True,
2014-02-19,国证成长100指数,980080.CN,国证成长100指数,index,3.6569201740570354,3.92706595488513,0.9312092580232724,0.05685257304622171,True,
2014-02-19,国证价值100指数,980081.CNI,国证价值100指数,index,1.4494490711937724,1.6256894690202128,0.8915903675425426,0.045179584794447836,True,
2014-02-19,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,0.2778814589788103,0.712347048432802,0.39009280601381435,0.08193109718066194,True,
2014-02-19,纳指ETF国泰,513100,纳指ETF国泰,etf,0.050718226610776546,0.2632858705036405,0.19263558091346666,0.04170286707211135,True,
2014-02-19,黄金ETF易方达,159934,黄金ETF易方达,etf,0.6602520757748604,0.8645092387617781,0.7637305030083059,0.048605696223384065,True,
2014-02-20,国证成长100指数,980080.CN,国证成长100指数,index,3.4992344018760577,3.787330218970566,0.9239316879073682,0.0556444220468717,True,
2014-02-20,国证价值100指数,980081.CNI,国证价值100指数,index,1.4541398290017231,1.6246747784341564,0.8950344083036773,0.05072083458462573,True,
2014-02-20,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,0.7163964501439116,1.3916251111518863,0.5147912641148956,0.15122077561853509,True,
2014-02-20,纳指ETF国泰,513100,纳指ETF国泰,etf,0.08166670813234302,0.32164273149777833,0.25390503230727324,0.057945566286216055,True,
2014-02-20,黄金ETF易方达,159934,黄金ETF易方达,etf,0.6967130420691997,0.8950673826810327,0.7783917228469504,0.04373068294058835,True,
2014-02-21,国证成长100指数,980080.CN,国证成长100指数,index,3.047214434499377,3.3949938758566764,0.8975610990551367,0.031067098808948534,True,
2014-02-21,国证价值100指数,980081.CNI,国证价值100指数,index,1.2375943846827204,1.4559688400029493,0.8500143345651638,0.02675078276082421,True,
2014-02-21,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,1.1330588494586524,1.814223181528119,0.6245421517016874,0.10300175394463218,True,
2014-02-21,纳指ETF国泰,513100,纳指ETF国泰,etf,0.11593371453516592,0.37194231295603,0.31169810612236337,0.03706896551724159,True,
2014-02-21,黄金ETF易方达,159934,黄金ETF易方达,etf,0.7661283954200471,0.9573970053066181,0.8002201711239791,0.04320807489980072,True,
2014-02-24,国证成长100指数,980080.CN,国证成长100指数,index,2.5056553710042726,2.921188257996214,0.857752102811417,-0.005221884839565538,False,return_10d_not_positive
2014-02-24,国证价值100指数,980081.CNI,国证价值100指数,index,0.6068913708889274,1.0222841784242251,0.5936620987565367,-0.03179864047379877,False,return_10d_not_positive
2014-02-24,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,1.2569536424728824,1.9189228448802949,0.6550308397372241,0.06244101054176188,True,
2014-02-24,纳指ETF国泰,513100,纳指ETF国泰,etf,0.15833916190628777,0.4286548848116347,0.3693861134368439,0.03507271171941828,True,
2014-02-24,黄金ETF易方达,159934,黄金ETF易方达,etf,0.9098899182175729,1.0731008288179908,0.8479071991956311,0.03921485896289867,True,
2014-02-25,国证成长100指数,980080.CN,国证成长100指数,index,1.6225990394186185,2.255518506795424,0.7193907008654788,-0.030901005154141403,False,return_10d_not_positive
2014-02-25,国证价值100指数,980081.CNI,国证价值100指数,index,0.1614973927676067,0.6136407357333982,0.2631790612378294,-0.05601749422205404,False,return_10d_not_positive
2014-02-25,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,1.2342726384540796,1.885890703645468,0.6544772907932594,0.016681268851123754,True,
2014-02-25,纳指ETF国泰,513100,纳指ETF国泰,etf,0.19764760718910995,0.4727391849655571,0.41809017207556043,0.027210884353741527,True,
2014-02-25,黄金ETF易方达,159934,黄金ETF易方达,etf,1.0698731051646886,1.206413556235678,0.886821189661503,0.04203202840368969,True,
2014-02-26,国证成长100指数,980080.CN,国证成长100指数,index,1.0809777152753888,1.783784042515097,0.6060025706650193,-0.027758188969419395,False,return_10d_not_positive
2014-02-26,国证价值100指数,980081.CNI,国证价值100指数,index,0.02793225477871737,0.3186474481271475,0.08765880581466878,-0.0576135175291832,False,return_10d_not_positive
2014-02-26,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,1.356005744833179,1.987944855640737,0.6821143659923721,0.03016152472005129,True,
2014-02-26,纳指ETF国泰,513100,纳指ETF国泰,etf,0.19181179677629234,0.46069632377233316,0.41635191530436844,0.015993265993266004,True,
2014-02-26,黄金ETF易方达,159934,黄金ETF易方达,etf,1.210650503362278,1.3443325574157172,0.9005587915609041,0.050835957378359664,True,
2014-02-27,国证成长100指数,980080.CN,国证成长100指数,index,0.5208800416259945,1.2346549094751125,0.42188310079893965,-0.03492129753596229,False,return_10d_not_positive
2014-02-27,国证价值100指数,980081.CNI,国证价值100指数,index,0.0004987832692028465,0.07337130747329423,0.0067980697956676606,-0.058931750900317215,False,return_10d_not_positive
2014-02-27,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,1.733002734434234,2.382869532539288,0.7272755435281729,0.08128218955619304,True,
